HK1,0.3286, ,HK2,0.1818,  ,HK3,0.0992,   ,HK4,0.0884,    ,HK5,0.0737
$edisp$,0.3767, ,$lumo_{1}$,0.5188, ,$homo_{6}$,0.6013, ,$saddling$,0.4887, ,$Em$,0.5009
$edif-2-5$,0.3342, ,$homo_{1}$,0.4277, ,$ruffling$,0.4245, ,$Em$,0.4412, ,$ruffling$,0.4467
$e$,0.3316, ,$edif-6-1$,0.3637, ,$edif-6-5$,0.3157, ,$edif-6-1$,0.3947, ,$homo_{2}$,0.3933
$edif-6-5$,0.3086, ,$edif-2-1$,0.3371, ,$homo_{2}$,0.3112, ,$ruffling$,0.3425, ,$homo_{6}$,0.3048
$lumo_{5}$,0.2909, ,$lumo_{2}$,0.2717, ,$saddling$,0.3004, ,$lumo_{6}$,0.248, ,$lumo_{2}$,0.2591
