PDB,pdb,ud,Hemetyp,Em_lit,ligup,ligdown,Elektrode,ax_qn,ax_ql,ax_qn_r,ax_ql_r,ligup_r,ligdown_r,Kategorie,HM,*_HIS/HIS,B_-/HIS,C_His/Met,Kategorie2,du ,uu ,ud ,dd 
1HRC,1HRC,du,C,260.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1IO3,1IO3,du,C,296.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1JBQ,1JBQ,dd,B,-291.0,HIS,CYS,NHE,HIS/CYS,CYS/HIS,other,other,HIS,other,[],False,0,0,0,other,0,0,0,1
1JDL,1JDL,du,B,293.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,[],False,0,0,0,other,1,0,0,0
1JP6,1JP6,ud,B,50.0,HIS,-,NHE,HIS/-,-/HIS,HIS/-,-/HIS,HIS,-,['B_-/HIS'],False,0,1,0,B_-/HIS,0,0,1,0
1JP9,1JP9,ud,B,50.0,HIS,-,NHE,HIS/-,-/HIS,HIS/-,-/HIS,HIS,-,['B_-/HIS'],False,0,1,0,B_-/HIS,0,0,1,0
1LS9,1LS9,du,C,355.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
1MOH,1MOH,ud,B,103.0,HIS,HSH,NHE,HIS/HSH,HIS/HSH,other,other,HIS,other,[],False,0,0,0,other,0,0,1,0
1MZ4,1MZ4,du,C,-240.0,HIS,HIS,NHE,HIS/HIS,HIS/HIS,HIS/HIS,HIS/HIS,HIS,HIS,['*_HIS/HIS'],False,1,0,0,*_HIS/HIS,1,0,0,0
1VB6,1VB6,dd,B,63.9,HIS,MET,SHE,HIS/MET,HIS/MET,other,HIS/MET,HIS,other,[],False,0,0,0,other,0,0,0,1
1YCC,1YCC,du,C,290.0,MET,HIS,SHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
2BGV,2BGV,du,C,255.0,MET,HIS,NHE,MET/HIS,HIS/MET,MET/HIS,HIS/MET,MET,HIS,['C_His/Met'],False,0,0,1,C_His/Met,1,0,0,0
